TIMESTAMP,AGENTNAME,ORDERBOOK,INSTRUMENT_NAME,COUNTRY,SECTOR_LONGNAME,SUBSECTOR_LONGNAME,INDUSTRY_LONGNAME,HOLDING_RATIO,HOLDING,OB_HOLDING,INVESTS,LASTFIXEDPRICE,ESG,E,S,G,ESG_RATIO,E_RATIO,S_RATIO,G_RATIO
2019-04-07 15:29:41.358,mm,FR0000120628,AXA,FR,FINANCIAL SERVICES,INSURANCE,MULTI-LINE INSURANCE,-0.007829,5595980,-43812,-14604,3,65.5,60,66.83,69.67,-0.5127995,-0.46974,-0.52321207,-0.54544643
2019-04-07 15:27:09.392,mm,FR0000051807,TELEPERFORMANCE,FR,CONSUMER DISCRETIONARY,MEDIA,ADVERTIING AGENCIES,0.003026,5595980,16939,1303,13,56.72,54,52.83,63.33,0.17163472,0.163404,0.15986358,0.19163658
2019-04-07 15:26:54.634,mm,FR0012435121,ELIS,FR,CONSUMER DISCRETIONARY,CONSUMER SERVICES,CONSUMER RENTAL & LEASE SERVICES,-0.026699,5595980,-149410,-14941,10,57.5,59,49.17,64.33,-1.5351925,-1.575241,-1.31278983,-1.71754667
2019-04-07 15:29:44.178,mm,FR0000121485,KERING,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,TEXTILE APPAREL & SHOES,0.057259,5595980,320424,26702,12,59.94,59.33,61.17,59.33,3.43210446,3.39717647,3.50253303,3.39717647
2019-04-07 15:29:29.984,mm,FR0000051732,ATOS,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.033759,5595980,188916,14532,13,60.78,55.67,63.67,63,2.05187202,1.87936353,2.14943553,2.126817
2019-04-07 15:28:08.674,mm,FR0010451203,REXEL,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,CONSUMER ELECTRONICS,0.057313,5595980,320727,29157,11,60.94,57,60.17,65.67,3.49265422,3.266841,3.44852321,3.76374471
2019-04-07 15:28:41.762,mm,FR0000121204,WENDEL,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,DIVERSIFIED MANUFACTURING,-0.025693,5595980,-143780,-14378,10,49.61,49.67,51.17,48,-1.27462973,-1.27617131,-1.31471081,-1.233264
2019-04-07 15:29:52.638,mm,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.099592,5595980,557320,27866,20,62.39,67.33,62.5,57.33,6.21354488,6.70552936,6.2245,5.70960936
2019-04-07 15:30:01.944,mm,FR0010242511,EDF,FR,UTILITIES,UTILITIES,ELECTRICAL UTILITIES,0.005097,5595980,28524,2377,12,60.17,66.67,61.5,52.33,0.30668649,0.33981699,0.3134655,0.26672601
2019-04-07 15:29:32.804,mm,FR0000130809,SOCIETE GENERALE,FR,FINANCIAL SERVICES,BANKS,DIVERSIFIED BANKS,0.052412,5595980,293300,14665,20,61.22,59,64.33,60.33,3.20866264,3.092308,3.37166396,3.16201596
2019-04-07 15:29:50.288,mm,FR0000121220,SODEXO,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENVIRONMENT MAINTENANCE & SECURITY,0.056004,5595980,313400,15670,20,64.67,64.33,66,63.67,3.62177868,3.60273732,3.696264,3.56577468
2019-04-07 15:28:20.706,mm,FR0010208488,ENGIE,FR,UTILITIES,UTILITIES,MISCELLANEOUS UTILITIES,-0.031642,5595980,-177070,-17707,10,62.17,59.33,64.17,63,-1.96718314,-1.87731986,-2.03046714,-1.993446
2019-04-07 15:28:44.864,mm,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,0.004304,5595980,24089,1853,13,65.11,66,61.67,67.67,0.28023344,0.284064,0.26542768,0.29125168
2019-04-07 15:29:47.468,mm,FR0000121964,KLEPIERRE,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,RETAIL REIT,0.001153,5595980,6456,2152,3,61.94,63.33,59.17,63.33,0.07141682,0.07301949,0.06822301,0.07301949
2019-04-07 15:29:45.118,mm,FR0000130403,CHRISTIAN DIOR,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,TEXTILE APPAREL & SHOES,0.002026,5595980,11340,1134,10,57.22,58,61,52.67,0.11592772,0.117508,0.123586,0.10670942
2019-04-07 15:29:57.056,mm,FR0000130395,REMY COINTREAU,FR,CONSUMER STAPLES,FOOD,BREWERS AND BEVERAGE DISTRIBUTION,0.001186,5595980,6640,332,20,56.33,56.33,56.33,56.33,0.06680738,0.06680738,0.06680738,0.06680738
2019-04-07 15:28:09.520,mm,FR0000125007,SAINT GOBAIN,FR,MATERIALS & PROCESSING,BUILDING MATERIALS,BUILDING MATERIALS,-0.007965,5595980,-44574,-14858,3,61.89,62,60,63.67,-0.49295385,-0.49383,-0.4779,-0.50713155
